     Input  Canonical    Reduced
    G?AEBw     G?COVK     G?COVK -C-R- [(0, 7), (1, 7), (2, 7), (3, 4), (3, 5), (4, 6), (5, 7), (6, 7)]
    G?AEDo     G?AAHs     G?AAHs -C-R- [(0, 5), (1, 6), (2, 7), (3, 7), (4, 7), (5, 6), (6, 7)]
    G?AEDs     G?AAH{     G?AAH{ -C-R- [(0, 5), (1, 6), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AEDw     G?_?Zk     G?_?Zk -C-R- [(0, 4), (1, 7), (2, 7), (3, 7), (4, 6), (5, 6), (5, 7), (6, 7)]
    G?AEFo     G??KRk     G??KRk -C-R- [(0, 6), (1, 7), (2, 7), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    G?AEFs     G?A?Z{     G?A?Z{ -C-R- [(0, 5), (1, 7), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AEFw     G?C?n[     G?C?n[ -C-R- [(0, 7), (1, 7), (2, 7), (3, 4), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AEF{     G??O^{     G??O^{ -C-R- [(0, 7), (1, 7), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AEJo     G?C?~G      F?_Jg -C-_- [(0, 7), (1, 7), (2, 7), (3, 4), (3, 6), (4, 6), (5, 6), (5, 7)]
    G?AEJs     G?C?~K      F?AJw -C-_- [(0, 7), (1, 7), (2, 7), (3, 4), (3, 6), (4, 6), (5, 6), (5, 7), (6, 7)]
    G?AELo     G?AGZc     G?AGZc -C-R- [(0, 5), (1, 7), (2, 7), (3, 7), (4, 5), (4, 6), (5, 6), (6, 7)]
    G?AELs     G??KZk     G??KZk -C-R- [(0, 6), (1, 7), (2, 7), (3, 7), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7)]
    G?AELw     G?_GZk      F?_Jg -C-_- [(0, 4), (1, 7), (2, 7), (3, 7), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7)]
    G?AEL{     G??KZ{      F?AJw -C-_- [(0, 6), (1, 7), (2, 7), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AENo     G??WnS     G??WnS -C-R- [(0, 7), (1, 7), (2, 7), (3, 5), (3, 6), (4, 5), (4, 7), (5, 6), (6, 7)]
    G?AENs     G??O~[     G??O~[ -C-R- [(0, 7), (1, 7), (2, 7), (3, 5), (3, 6), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AENw     G?CG^k      F?CVW -C-_- [(0, 7), (1, 7), (2, 7), (3, 4), (3, 7), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7)]
    G?AEN{     G??G~{      F??^w -C-_- [(0, 7), (1, 7), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AF?w     G??MPg     G??MPg -C-R- [(0, 6), (1, 6), (2, 7), (3, 7), (4, 5), (4, 6), (5, 7)]
    G?AF?{     G??MPk     G??MPk -C-R- [(0, 6), (1, 6), (2, 7), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    G?AFAw     G?CCjW     G?CCjW -C-R- [(0, 6), (1, 7), (2, 7), (3, 4), (3, 6), (4, 7), (5, 6), (5, 7)]
    G?AFA{     G?CCj[     G?CCj[ -C-R- [(0, 6), (1, 7), (2, 7), (3, 4), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFBo     GC??zW     GC??zW -C-R- [(0, 3), (1, 7), (2, 7), (3, 6), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?AFBs     GC??z[     GC??z[ -C-R- [(0, 3), (1, 7), (2, 7), (3, 6), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFBw     G@?@]w     G@?@]w -C-R- [(0, 7), (1, 7), (2, 3), (2, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?AFB{     G@?@]{     G@?@]{ -C-R- [(0, 7), (1, 7), (2, 3), (2, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFCs     G??MHk     G??MHk -C-R- [(0, 6), (1, 6), (2, 7), (3, 7), (4, 5), (5, 6), (5, 7), (6, 7)]
    G?AFCw     G?B?Xs     G?B?Xs -C-R- [(0, 5), (1, 5), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    G?AFC{     G??MH{     G??MH{ -C-R- [(0, 6), (1, 6), (2, 7), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFEo     G?AIHs     G?AIHs -C-R- [(0, 5), (1, 6), (2, 7), (3, 7), (4, 5), (4, 7), (5, 6), (6, 7)]
    G?AFEs     G?AAX{     G?AAX{ -C-R- [(0, 5), (1, 6), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
